ticker,company_name,cik,fiscal_year,filing_type,filing_date,data_source,revenue,gross_profit,operating_income,net_income,cash_and_equivalents,total_assets,total_liabilities,long_term_debt,current_debt,operating_cash_flow,capex,shares_outstanding,depreciation_amortization,interest_expense,total_debt,sector_theme,source_type,data_mode,fundamentals_refresh_timestamp
MKTX,MKTX,1278021,2022,10-K,2023-02-22,sec_companyfacts,718300000.0,,338288000.0,250224000.0,572664000.0,1607775000.0,526682000.0,,,289231000.0,13142000.0,,61446000.0,700000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
MKTX,MKTX,1278021,2023,10-K,2024-02-22,sec_companyfacts,752547000.0,,332700000.0,258055000.0,611672000.0,2015067000.0,722104000.0,,,333767000.0,9326000.0,,70557000.0,1983000.0,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
MKTX,MKTX,1278021,2024,10-K,2025-02-24,sec_companyfacts,817097000.0,,360546000.0,274181000.0,700459000.0,1789216000.0,400556000.0,,,385237000.0,9942000.0,,73824000.0,,,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
MKTX,MKTX,1278021,2025,10-K,2026-02-24,sec_companyfacts,846268000.0,,366995000.0,246912000.0,675851000.0,1934886000.0,776627000.0,,220000000.0,382139000.0,8204000.0,,76699000.0,,220000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
MSCI,MSCI,1408198,2022,10-K,2023-02-10,sec_companyfacts,2248598000.0,,1043841000.0,870573000.0,993564000.0,4997535000.0,1250527000.0,4503233000.0,8713000.0,1095369000.0,13617000.0,,26893000.0,171571000.0,4511946000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
MSCI,MSCI,1408198,2023,10-K,2024-02-09,sec_companyfacts,2528920000.0,,1369061000.0,1148592000.0,461693000.0,5518219000.0,1517025000.0,4496826000.0,10902000.0,1236029000.0,22757000.0,,21009000.0,186679000.0,4507728000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
MSCI,MSCI,1408198,2024,10-K,2025-02-07,sec_companyfacts,2856128000.0,,1356168000.0,1109128000.0,409351000.0,5445439000.0,1585654000.0,4510816000.0,0.0,1501627000.0,33762000.0,,16978000.0,,4510816000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
MSCI,MSCI,1408198,2025,10-K,2026-02-06,sec_companyfacts,3134459000.0,,1494256000.0,1202305000.0,515332000.0,5702459000.0,1829713000.0,6202286000.0,,1588446000.0,39319000.0,,23405000.0,,6202286000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
NDAQ,NDAQ,1120193,2022,10-K,2023-02-23,sec_companyfacts,6226000000.0,3582000000.0,1475000000.0,1123000000.0,6994000000.0,20868000000.0,8835000000.0,4735000000.0,664000000.0,1706000000.0,152000000.0,,258000000.0,129000000.0,5399000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
NDAQ,NDAQ,1120193,2023,10-K,2024-02-21,sec_companyfacts,6064000000.0,3895000000.0,1401000000.0,1057000000.0,7118000000.0,32294000000.0,9025000000.0,10163000000.0,,1696000000.0,158000000.0,,323000000.0,284000000.0,10163000000.0,Alternative Asset Managers / Market Infrastructure,live_sec_companyfacts,live_api,2026-05-28T16:37:47+00:00
